borough,dev_name,source,map_file,table_file,arts_count
MANHATTAN,MANHATTANVILLE REHAB (GROUP 3),PACT,PACT_MANHATTANVILLE_REHAB_(GROUP_3)_map.html,PACT_MANHATTANVILLE_REHAB_(GROUP_3)_table.html,18
BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE A,PACT,PACT_MARCY_AVENUE-GREENE_AVENUE_SITE_A_map.html,PACT_MARCY_AVENUE-GREENE_AVENUE_SITE_A_table.html,3
BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,PACT,PACT_MARCY_AVENUE-GREENE_AVENUE_SITE_B_map.html,PACT_MARCY_AVENUE-GREENE_AVENUE_SITE_B_table.html,2
MANHATTAN,MARSHALL PLAZA,PACT,PACT_MARSHALL_PLAZA_map.html,PACT_MARSHALL_PLAZA_table.html,15
MANHATTAN,METRO NORTH PLAZA,PACT,PACT_METRO_NORTH_PLAZA_map.html,PACT_METRO_NORTH_PLAZA_table.html,5
BRONX,MIDDLETOWN PLAZA,PACT,PACT_MIDDLETOWN_PLAZA_map.html,,0
MANHATTAN,MORRIS PARK SENIOR CITIZENS HOME,PACT,PACT_MORRIS_PARK_SENIOR_CITIZENS_HOME_map.html,PACT_MORRIS_PARK_SENIOR_CITIZENS_HOME_table.html,17
BRONX,MURPHY,PACT,PACT_MURPHY_map.html,,0
QUEENS,OCEAN BAY APARTMENTS (BAYSIDE),PACT,PACT_OCEAN_BAY_APARTMENTS_(BAYSIDE)_map.html,,0
BROOKLYN,OCEAN HILL-BROWNSVILLE,PACT,PACT_OCEAN_HILL-BROWNSVILLE_map.html,PACT_OCEAN_HILL-BROWNSVILLE_table.html,6
BROOKLYN,OCEAN HILL APARTMENTS,PACT,PACT_OCEAN_HILL_APARTMENTS_map.html,PACT_OCEAN_HILL_APARTMENTS_table.html,1
BROOKLYN,PALMETTO GARDENS,PACT,PACT_PALMETTO_GARDENS_map.html,,0
MANHATTAN,"PARK AVENUE-EAST 122ND, 123RD STREETS",PACT,"PACT_PARK_AVENUE-EAST_122ND,_123RD_STREETS_map.html","PACT_PARK_AVENUE-EAST_122ND,_123RD_STREETS_table.html",9
BROOKLYN,PARK ROCK REHAB,PACT,PACT_PARK_ROCK_REHAB_map.html,PACT_PARK_ROCK_REHAB_table.html,5
BROOKLYN,PENNSYLVANIA AVENUE-WORTMAN AVENUE,PACT,PACT_PENNSYLVANIA_AVENUE-WORTMAN_AVENUE_map.html,PACT_PENNSYLVANIA_AVENUE-WORTMAN_AVENUE_table.html,1
MANHATTAN,PUBLIC SCHOOL 139 (CONVERSION),PACT,PACT_PUBLIC_SCHOOL_139_(CONVERSION)_map.html,PACT_PUBLIC_SCHOOL_139_(CONVERSION)_table.html,13
BROOKLYN,RALPH AVENUE REHAB,PACT,PACT_RALPH_AVENUE_REHAB_map.html,,0
MANHATTAN,REHAB PROGRAM (TAFT REHABS),PACT,PACT_REHAB_PROGRAM_(TAFT_REHABS)_map.html,PACT_REHAB_PROGRAM_(TAFT_REHABS)_table.html,17
BROOKLYN,REID APARTMENTS,PACT,PACT_REID_APARTMENTS_map.html,PACT_REID_APARTMENTS_table.html,2
MANHATTAN,ROBINSON,PACT,PACT_ROBINSON_map.html,PACT_ROBINSON_table.html,8
BROOKLYN,RUTLAND TOWERS,PACT,PACT_RUTLAND_TOWERS_map.html,PACT_RUTLAND_TOWERS_table.html,1
BRONX,SACK WERN,PACT,PACT_SACK_WERN_map.html,,0
MANHATTAN,SAMUEL (CITY),PACT,PACT_SAMUEL_(CITY)_map.html,PACT_SAMUEL_(CITY)_table.html,7
MANHATTAN,SAMUEL (MHOP) I,PACT,PACT_SAMUEL_(MHOP)_I_map.html,PACT_SAMUEL_(MHOP)_I_table.html,14
MANHATTAN,SAMUEL (MHOP) II,PACT,PACT_SAMUEL_(MHOP)_II_map.html,PACT_SAMUEL_(MHOP)_II_table.html,14
MANHATTAN,SAMUEL (MHOP) III,PACT,PACT_SAMUEL_(MHOP)_III_map.html,PACT_SAMUEL_(MHOP)_III_table.html,10
BROOKLYN,SARATOGA VILLAGE,PACT,PACT_SARATOGA_VILLAGE_map.html,,0
BRONX,SOUTH BRONX AREA (SITE 402),PACT,PACT_SOUTH_BRONX_AREA_(SITE_402)_map.html,PACT_SOUTH_BRONX_AREA_(SITE_402)_table.html,2
BRONX,STEBBINS AVENUE-HEWITT PLACE,PACT,PACT_STEBBINS_AVENUE-HEWITT_PLACE_map.html,PACT_STEBBINS_AVENUE-HEWITT_PLACE_table.html,3
BROOKLYN,STERLING PLACE REHABS (SAINT JOHNS-STERLING),PACT,PACT_STERLING_PLACE_REHABS_(SAINT_JOHNS-STERLING)_map.html,PACT_STERLING_PLACE_REHABS_(SAINT_JOHNS-STERLING)_table.html,5
BROOKLYN,STERLING PLACE REHABS (STERLING-BUFFALO),PACT,PACT_STERLING_PLACE_REHABS_(STERLING-BUFFALO)_map.html,PACT_STERLING_PLACE_REHABS_(STERLING-BUFFALO)_table.html,4
BROOKLYN,STUYVESANT GARDENS I,PACT,PACT_STUYVESANT_GARDENS_I_map.html,PACT_STUYVESANT_GARDENS_I_table.html,1
BROOKLYN,STUYVESANT GARDENS II,PACT,PACT_STUYVESANT_GARDENS_II_map.html,PACT_STUYVESANT_GARDENS_II_table.html,2
BROOKLYN,SUTTER AVENUE-UNION STREET,PACT,PACT_SUTTER_AVENUE-UNION_STREET_map.html,,0
BROOKLYN,TAPSCOTT STREET REHAB,PACT,PACT_TAPSCOTT_STREET_REHAB_map.html,,0
BRONX,TWIN PARKS EAST (SITE 9),PACT,PACT_TWIN_PARKS_EAST_(SITE_9)_map.html,PACT_TWIN_PARKS_EAST_(SITE_9)_table.html,1
BRONX,TWIN PARKS WEST (SITES 1 & 2),PACT,PACT_TWIN_PARKS_WEST_(SITES_1_&_2)_map.html,,0
BRONX,UNION AVENUE-EAST 163RD STREET,PACT,PACT_UNION_AVENUE-EAST_163RD_STREET_map.html,PACT_UNION_AVENUE-EAST_163RD_STREET_table.html,1
BRONX,UNION AVENUE-EAST 166TH STREET,PACT,PACT_UNION_AVENUE-EAST_166TH_STREET_map.html,PACT_UNION_AVENUE-EAST_166TH_STREET_table.html,1
BRONX,UNIVERSITY AVENUE REHAB,PACT,PACT_UNIVERSITY_AVENUE_REHAB_map.html,PACT_UNIVERSITY_AVENUE_REHAB_table.html,4
MANHATTAN,UPACA (SITE 5),PACT,PACT_UPACA_(SITE_5)_map.html,PACT_UPACA_(SITE_5)_table.html,10
MANHATTAN,UPACA (SITE 6),PACT,PACT_UPACA_(SITE_6)_map.html,PACT_UPACA_(SITE_6)_table.html,10
MANHATTAN,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),PACT,PACT_WASHINGTON_HEIGHTS_REHAB_(GROUPS_1&2)_map.html,PACT_WASHINGTON_HEIGHTS_REHAB_(GROUPS_1&2)_table.html,5
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),PACT,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_III_(FORT_WASHINGTON)_map.html,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_III_(FORT_WASHINGTON)_table.html,5
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),PACT,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_III_(HARLEM_RIVER)_map.html,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_III_(HARLEM_RIVER)_table.html,15
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE IV (C),PACT,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_IV_(C)_map.html,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_IV_(C)_table.html,5
MANHATTAN,WASHINGTON HEIGHTS REHAB PHASE IV (D),PACT,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_IV_(D)_map.html,PACT_WASHINGTON_HEIGHTS_REHAB_PHASE_IV_(D)_table.html,5
BROOKLYN,WEEKSVILLE GARDENS,PACT,PACT_WEEKSVILLE_GARDENS_map.html,PACT_WEEKSVILLE_GARDENS_table.html,1
STATEN ISLAND,WEST BRIGHTON I,PACT,PACT_WEST_BRIGHTON_I_map.html,,0
STATEN ISLAND,WEST BRIGHTON II,PACT,PACT_WEST_BRIGHTON_II_map.html,,0
MANHATTAN,WHITE,PACT,PACT_WHITE_map.html,PACT_WHITE_table.html,9
BROOKLYN,WILLIAMS PLAZA,PACT,PACT_WILLIAMS_PLAZA_map.html,PACT_WILLIAMS_PLAZA_table.html,7
BROOKLYN,WILLIAMSBURG,PACT,PACT_WILLIAMSBURG_map.html,PACT_WILLIAMSBURG_table.html,2
MANHATTAN,WISE TOWERS,PACT,PACT_WISE_TOWERS_map.html,PACT_WISE_TOWERS_table.html,31
